ticker,company,run_status,elapsed_seconds,llm_used,llm_provider,tushare_used,selected_analysts,tool_calls_count,called_tool_names,second_batch_tools_called,contract_status_values_observed,final_report_path,contamination_scan_result,pollution_flags,forbidden_term_scan_result,forbidden_term_flags,contract_consumption_scan_result,contract_consumption_flags,manual_review_note,runtime_output_root,error
300450,先导智能,passed,149.614,yes,deepseek,yes,"[""fundamentals"", ""hot_money""]",12,"[""get_balance_sheet"", ""get_cashflow"", ""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_fund_flow"", ""get_fundamentals"", ""get_hot_stocks"", ""get_income_statement"", ""get_industry_comparison"", ""get_northbound_flow"", ""get_profit_forecast""]","[""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_hot_stocks"", ""get_industry_comparison"", ""get_northbound_flow""]","[""no_event"", ""ok"", ""technical_error""]",.cache/recovery/second_batch_min_agent_regression/20260708_162555/300450/agent_report_sections.md,clean,[],clean,[],manual_review,"[""technical_error_mentioned_as_data_gap"", ""dragon_tiger_no_event_used_in_narrative""]","technical error surfaced as missing-data note, not raw stack; dragon-tiger no_event appears in investment narrative",.cache/recovery/second_batch_min_agent_regression/20260708_162555/300450,
600519,贵州茅台,passed,179.187,yes,deepseek,yes,"[""fundamentals"", ""hot_money""]",16,"[""get_balance_sheet"", ""get_cashflow"", ""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_fund_flow"", ""get_fundamentals"", ""get_hot_stocks"", ""get_income_statement"", ""get_industry_comparison"", ""get_northbound_flow"", ""get_profit_forecast""]","[""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_hot_stocks"", ""get_industry_comparison"", ""get_northbound_flow""]","[""no_event"", ""ok"", ""technical_error""]",.cache/recovery/second_batch_min_agent_regression/20260708_162555/600519/agent_report_sections.md,clean,[],flagged,"[""english_bullish_bearish_term""]",manual_review,"[""dragon_tiger_no_event_used_in_narrative""]","dragon-tiger no_event appears in investment narrative; English bullish/bearish term appears in Agent-generated debate text, not observed in tool heads",.cache/recovery/second_batch_min_agent_regression/20260708_162555/600519,
688981,中芯国际,passed,204.974,yes,deepseek,yes,"[""fundamentals"", ""hot_money""]",12,"[""get_balance_sheet"", ""get_cashflow"", ""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_fund_flow"", ""get_fundamentals"", ""get_hot_stocks"", ""get_income_statement"", ""get_industry_comparison"", ""get_northbound_flow"", ""get_profit_forecast""]","[""get_concept_blocks"", ""get_dragon_tiger_board"", ""get_hot_stocks"", ""get_industry_comparison"", ""get_northbound_flow""]","[""no_event"", ""ok"", ""technical_error""]",.cache/recovery/second_batch_min_agent_regression/20260708_162555/688981/agent_report_sections.md,clean,[],clean,[],manual_review,"[""dragon_tiger_no_event_used_in_narrative""]",dragon-tiger no_event appears in investment narrative,.cache/recovery/second_batch_min_agent_regression/20260708_162555/688981,
